trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.7, 'e': 0.6361854860638709}",25,1,-84.34874137151452,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 2}",1
46,False,"{'a': 0.7, 'e': 0.6298236312032323}",25,0,-92.63299344924076,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.7, 'e': 0.6235253948912}",25,0,-89.61044983694656,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
48,False,"{'a': 0.7, 'e': 0.617290140942288}",20,0,-113.26846772167781,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.7, 'e': 0.6111172395328651}",20,12,7.464335994322702,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.6050060671375365}",20,0,-25.40887941350711,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.5989560064661611}",20,0,-126.46423345689453,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
52,False,"{'a': 0.7, 'e': 0.5929664464014994}",20,4,-39.367916181111994,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.5870367819374844}",25,1,-103.10713810260498,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 1}",1
54,False,"{'a': 0.7, 'e': 0.5811664141181095}",20,10,-13.970053841140562,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.5753547499769285}",30,8,-73.74271201081388,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
56,False,"{'a': 0.7, 'e': 0.5696012024771592}",20,0,-38.19317684014971,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
57,False,"{'a': 0.7, 'e': 0.5639051904523876}",20,0,-80.85919723746383,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.7, 'e': 0.5582661385478638}",20,0,-58.66475449876086,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.5526834771623851}",20,0,-92.94963416017355,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
60,False,"{'a': 0.7, 'e': 0.5471566423907612}",25,0,-39.78773737188839,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.5416850759668536}",20,6,-1.1392928782888276,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.536268225207185}",30,4,-28.775044883801172,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.7, 'e': 0.5309055429551132}",30,21,-15.386993544991476,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.525596487525562}",25,14,-23.555316215400886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.7, 'e': 0.5203405226503064}",30,0,-90.13754618234759,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.5151371174238033}",35,15,-15.623010453100168,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.5099857462495653}",25,0,-140.69013806014027,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
68,False,"{'a': 0.7, 'e': 0.5048858887870696}",35,7,-119.2379129403191,"{0: 21, 1: 0, 2: 3, 3: 2, 4: 2}",1
69,False,"{'a': 0.7, 'e': 0.4998370298991989}",30,0,-53.2939097156372,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.49483865960020695}",20,12,11.86291216645826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.4898902730042049}",20,0,3.0451931460923323,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.7, 'e': 0.48499137027416284}",25,0,16.10195896379034,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.4801414565714212}",25,0,-69.90005282593734,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.7, 'e': 0.475340042005707}",25,17,-31.579876440234894,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.47058664158564995}",30,0,-63.648153729025395,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.7, 'e': 0.4658807751697934}",35,15,-15.507420297186853,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.4612219674180955}",20,0,-37.04561367663224,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.7, 'e': 0.45660974774391455}",20,0,-25.732993258157876,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
79,False,"{'a': 0.7, 'e': 0.4520436502664754}",20,0,21.423542623936502,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.44752321376381066}",20,1,-26.188154367630023,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.44304798162617254}",25,0,-69.71779345489212,"{0: 20, 1: 1, 2: 0, 3: 3, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.4386175018099108}",25,14,-58.603174144507236,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
83,False,"{'a': 0.7, 'e': 0.4342313267918117}",25,4,-117.06752098289236,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 1}",1
84,False,"{'a': 0.7, 'e': 0.4298890135238936}",25,0,-71.99772015415856,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
85,False,"{'a': 0.7, 'e': 0.42559012338865465}",20,7,-72.72392399755086,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.7, 'e': 0.4213342221547681}",20,0,-147.67380429615798,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
87,False,"{'a': 0.7, 'e': 0.41712087993322045}",30,11,-71.35894166209853,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.7, 'e': 0.41294967113388825}",20,4,-57.62876025330572,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
89,False,"{'a': 0.7, 'e': 0.40882017442254937}",30,20,-3.0000271522311452,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.4047319726783239}",30,10,-2.735418318243716,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.40068465295154065}",25,17,3.184848705034776,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.39667780642202527}",20,0,-80.82960182217174,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
93,False,"{'a': 0.7, 'e': 0.392711028357805}",20,0,22.560524601721042,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.7, 'e': 0.38878391807422696}",20,0,-49.204377331764704,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.7, 'e': 0.3848960788934847}",20,0,-21.49119512465425,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.7, 'e': 0.38104711810454983}",20,3,-19.59140249830479,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.37723664692350434}",30,14,-6.330674711588628,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.37346428045426927}",25,7,-68.05034410455619,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
99,False,"{'a': 0.7, 'e': 0.36972963764972655}",30,1,-13.433483276081766,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.36603234127322926}",25,9,8.403037929530372,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.36237201786049694}",25,0,-82.01009716701542,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.7, 'e': 0.358748297681892}",25,0,-39.88646703287114,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
103,False,"{'a': 0.7, 'e': 0.35516081470507305}",20,12,15.374820628998496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.3516092065580223}",20,0,-17.54553976549681,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.7, 'e': 0.34809311449244207}",30,15,1.7357144944867051,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.34461218334751764}",30,1,-27.631189335535684,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.34116606151404244}",20,15,-0.2676227299722429,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.337754400898902}",30,5,-1.7445856019225685,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.334376856889913}",20,0,-73.80734109663774,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
110,False,"{'a': 0.7, 'e': 0.33103308832101386}",20,0,-55.249493873115135,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.7, 'e': 0.3277227574378037}",25,2,24.217681533473773,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.3244455298634257}",20,0,1.0975510024863688,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
113,False,"{'a': 0.7, 'e': 0.3212010745647914}",25,0,-3.373428577395404,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.7, 'e': 0.3179890638191435}",30,0,-1.7126711819760845,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.31480917318095203}",30,17,23.817527110751605,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3116610814491425}",25,0,-0.4706648092520993,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.7, 'e': 0.30854447063465107}",35,20,10.019260575450703,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.30545902592830454}",20,15,-1.8817948603711303,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.3024044356690215}",20,11,12.306408300438314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
